stations_name,latitude,longitude,number of bikes
Alter Markt,48.30554,14.2847,5
Am Volksgarten,48.29491,14.29272,11
Bahnhofplatz,48.2912,14.2912,31
Bethlehemstraße ,48.30321,14.2893,2
Blumauerstraße,48.29548,14.29535,4
E. Koref-Promenade,48.30832,14.2889,11
Fabrikstraße ,48.30864,14.29284,3
Ferihumerstraße ,48.31327,14.28754,3
Figulystraße ,48.293519,14.28811,6
Friedensplatz,48.2999,14.28963,7
Gruberstraße,48.30301,14.3003,6
Harrachstraße-Landstraße,48.30198,14.29021,0
Harrachstraße,48.303515,14.297951,7
Hauptplatz ,48.3064,14.28585,6
Neues Rathaus,48.30943,14.28332,13
Hauptstraße ,48.31437,14.28115,9
Herrenstraße,48.30096,14.28717,9
Hessenplatz ,48.30096,14.29484,2
Huemerstraße ,48.30588,14.2983,8
Knabenseminarstraße ,48.31578,14.28057,8
Krankenhausstraße ,48.302096,14.30534,5
Lederergasse,48.30753,14.29608,3
Marktplatz,48.300521,14.300158,12
Martin Luther-Platz,48.30061,14.29176,8
Mühlkreisbahnstraße,48.311548,14.280062,3
Pfarrplatz,48.306351,14.289585,13
Pochestraße,48.304939,14.292987,15
Promenade ,48.30421,14.28719,7
Klammstraße,48.30333,14.28454,6
Römerstraße ,48.304528,14.280579,4
Schillerplatz ,48.29749,14.29094,10
Schubertstraße ,48.29878,14.29622,2
Spittelwiese ,48.30218,14.2868,0
Untere Donaulände ,48.310402,14.293835,12
Volksgartenstraße ,48.29776,14.28793,5
Weingartshofstraße ,48.29111,14.28798,6
JKU Kepler Hall,48.335415,14.32033,8
JKU OIC,48.337251,14.315912,5
Landstraße,48.295102,14.292987,8
Dinghoferstraße ,48.29701,14.29907,5
Europaplatz,48.29927,14.30405,7
Stockhofstraße ,48.29565,14.28675,0
Simonystraße,48.255222,14.322757,0
Ennsfeldstraße,48.243182,14.337689,5
Traundorfer Straße 34,48.249564,14.340493,2
Lunaplatz,48.257787,14.359966,11
Bahnhof Ebelsberg,48.251681,14.347181,4
Suttnerstraße,48.258571,14.356017,7
Orionstraße,48.254448,14.367918,6
Bremenstraße,48.252886,14.379409,6
Pichlinger Straße,48.243326,14.367191,2
Menzelweg,48.245873,14.368654,3
Falterweg,48.247985,14.371185,5
Im Südpark,48.243013,14.379842,5
Klettfischerweg,48.250351,14.371691,5
Oidener Straße,48.249002,14.366352,6
Traundorfer Straße 137,48.252292,14.357653,4
